sample_id,cat,domain,level,native_chain_length,critical_path_length,parallelism_ratio,candidate_orderings,retained_orderings,filtered_orderings,bucket,max_parallelism,retained_ordering_distance_mean,retained_ordering_distance_median,retained_ordering_distance_max
e29834fd-413a-455c-a33e-c3915b07401c,A,Text,2,8,5,0.375,20,19,0,multi-order-rich,2,0.16917293233082709,0.17857142857142858,0.32142857142857145
bda648d7-d618-4883-88f4-3466eabd860e,A,Text,1,2,2,0.0,1,0,0,native-only,1,,,
50ec8903-b81f-4257-9450-1085afd2c319,A,Text,1,6,6,0.0,1,0,0,native-only,1,,,
cf106601-ab4f-4af9-b045-5295fe67b37d,A,Text,1,3,3,0.0,1,0,0,native-only,1,,,
5f982798-16b9-4051-ab57-cfc7ebdb2a91,A,Text,3,12,10,0.16666666666666663,15,14,0,multi-order-rich,2,0.03896103896103897,0.03787878787878788,0.06060606060606061
a0c07678-e491-4bbc-8f0b-07405144218f,A,Text,1,2,2,0.0,1,0,0,native-only,1,,,
5a0c1adf-205e-4841-a666-7c3ef95def9d,A,Text,1,2,2,0.0,1,0,0,native-only,1,,,
0512426f-4d28-49f0-be77-06d05daec096,A,Text,3,7,7,0.0,18,0,18,native-only,2,,,
0bdb7c40-671d-4ad1-9ce3-986b159c0ddc,A,Text,3,12,12,0.0,1,0,0,native-only,1,,,
08c0b6e9-1b43-4c2e-ae55-4e3fce2c2715,A,Text,2,12,12,0.0,1,0,0,native-only,1,,,
db4fd70a-2d37-40ea-873f-9433dc5e301f,A,Text,2,12,4,0.6666666666666667,50,23,27,multi-order-rich,4,0.5718050065876153,0.5757575757575758,0.6666666666666666
853c8244-429e-46ca-89f2-addf40dfb2bd,A,Text,2,11,9,0.18181818181818177,21,4,17,multi-order-rich,2,0.11818181818181817,0.10909090909090909,0.18181818181818182
7a4a336d-dcfa-45a0-b014-824c7619e8de,A,Text,2,8,8,0.0,1,0,0,native-only,1,,,
32102e3e-d12a-4209-9163-7b3a104efe5d,B,Document,2,3,3,0.0,1,0,0,native-only,1,,,
7dd30055-0198-452e-8c25-f73dbe27dcb8,B,Document,2,5,5,0.0,1,0,0,native-only,1,,,
bec74516-02fc-48dc-b202-55e78d0e17cf,B,Document,3,4,4,0.0,1,0,0,native-only,1,,,
cffe0e32-c9a6-4c52-9877-78ceb4aaa9fb,B,Document,1,15,9,0.4,50,23,27,multi-order-rich,7,0.241407867494824,0.23809523809523808,0.26666666666666666
5cfb274c-0207-4aa7-9575-6ac0bd95d9b2,B,Document,1,3,3,0.0,1,0,0,native-only,1,,,
9b54f9d9-35ee-4a14-b62f-d130ea00317f,B,Document,3,7,4,0.4285714285714286,40,37,2,multi-order-rich,2,0.24839124839124838,0.23809523809523808,0.47619047619047616
bfcd99e1-0690-4b53-a85c-0174a8629083,B,Document,2,4,4,0.0,4,0,3,native-only,2,,,
076c8171-9b3b-49b9-a477-244d2a532826,B,Document,2,3,3,0.0,1,0,0,native-only,1,,,
e9a2c537-8232-4c3f-85b0-b52de6bcba99,B,Document,2,2,2,0.0,1,0,0,native-only,1,,,
366e2f2b-8632-4ef2-81eb-bc3877489217,B,Document,2,4,4,0.0,1,0,0,native-only,1,,,
